Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
130.0,52,785.085999928473,1,20.0,0,9,0.785085999928473,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
30.0,24,1423.121999976167,0,20.0,0,9,1.423121999976167,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
50.0,1,1038.746999928495,1,20.0,0,9,1.0387469999284948,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,12,776.3250000238186,0,20.0,0,9,0.7763250000238185,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,12,1257.5829999761772,1,20.0,0,9,1.2575829999761772,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,24,798.1849999999977,0,20.0,0,9,0.7981849999999977,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
130.0,1,639.4029999284539,1,20.0,0,9,0.639402999928454,26.0,Masters,70.0,0.0,30.0,4.0,8.0,1.0
25.0,24,3812.12800004764,0,20.0,0,10,3.81212800004764,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,2,4068.511999999988,1,20.0,0,10,4.068511999999988,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,2,3573.323999904678,0,20.0,0,10,3.5733239999046784,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,1,1343.3759999523172,1,20.0,0,10,1.3433759999523172,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,1,2210.0650000476744,1,20.0,0,10,2.2100650000476745,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,12,1500.2600000000093,0,20.0,0,10,1.5002600000000093,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,24,6260.122999952291,0,20.0,0,10,6.260122999952291,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,24,1591.036999952281,1,20.0,0,10,1.5910369999522809,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,24,2360.8589999523247,0,20.0,0,10,2.360858999952325,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,1,7855.5899999523535,1,20.0,0,10,7.855589999952354,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,1,1725.0089998570038,1,20.0,0,10,1.7250089998570037,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,4,1342.344000000041,1,20.0,0,10,1.342344000000041,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,12,1364.49699995236,1,20.0,0,10,1.36449699995236,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,12,2965.566000047722,0,20.0,0,10,2.9655660000477218,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,12,2677.87199990463,0,20.0,0,10,2.67787199990463,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,2,961.1450000476324,1,20.0,0,10,0.9611450000476324,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,52,1346.5590000000084,0,20.0,0,10,1.3465590000000083,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,4,1205.9449998569908,1,20.0,0,10,1.2059449998569907,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,1,1339.863000000012,1,20.0,0,10,1.339863000000012,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,12,1587.2559999045916,1,20.0,0,10,1.5872559999045917,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,2,1963.0929999999933,0,20.0,0,10,1.9630929999999933,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,2,2406.136999999988,1,20.0,0,10,2.4061369999999878,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,24,2948.848999856971,0,20.0,0,10,2.9488489998569714,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,4,3342.6960000477266,0,20.0,0,10,3.3426960000477264,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,52,2658.4809998569544,0,20.0,0,10,2.6584809998569545,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,4,7973.466999904602,0,20.0,0,10,7.973466999904602,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,52,1522.862000047695,0,20.0,0,10,1.522862000047695,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,24,1999.2140000000363,0,20.0,0,10,1.9992140000000362,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,12,4883.955999856931,0,20.0,0,10,4.883955999856931,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,2,1669.98199999996,1,20.0,0,10,1.6699819999999599,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,4,1665.0879999999888,1,20.0,0,10,1.6650879999999888,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,52,931.564999999944,0,20.0,0,10,0.931564999999944,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,52,8187.822999999975,0,20.0,0,10,8.187822999999975,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,52,3126.755000047735,1,20.0,0,10,3.126755000047735,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,1,3533.304999952321,1,20.0,0,10,3.5333049999523207,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,4,4994.344999856898,1,20.0,0,10,4.994344999856898,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,12,5909.529999952298,0,20.0,0,10,5.909529999952298,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,12,7983.7029999999795,1,20.0,0,10,7.98370299999998,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,52,2028.2129999522583,0,20.0,0,10,2.0282129999522582,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,24,2009.9070000477368,0,20.0,0,10,2.0099070000477366,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,24,1414.4859999046894,0,20.0,0,10,1.4144859999046895,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,4,1223.83599995228,1,20.0,0,10,1.2238359999522799,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,52,4536.983000047738,0,20.0,0,10,4.536983000047738,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,12,2336.012000047718,0,20.0,0,10,2.336012000047718,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,4,1737.814000047627,1,20.0,0,10,1.737814000047627,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,12,9561.544999856967,1,20.0,0,10,9.561544999856967,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,2,9620.870999904582,1,20.0,0,10,9.620870999904582,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,1,1841.7159999046708,1,20.0,0,10,1.8417159999046708,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,52,1107.1109999523032,0,20.0,0,10,1.1071109999523032,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,24,1692.5839998569572,1,20.0,0,10,1.6925839998569572,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,12,1837.9899999999907,0,20.0,0,10,1.8379899999999907,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,4,5844.931000047713,0,20.0,0,10,5.844931000047713,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,1,2671.5359998570057,1,20.0,0,10,2.6715359998570056,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,24,1444.5629999999655,1,20.0,0,10,1.4445629999999656,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,52,3229.4109999046195,1,20.0,0,10,3.2294109999046197,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,2,1560.3169999523088,1,20.0,0,10,1.5603169999523088,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,4,1294.4279998569982,1,20.0,0,10,1.2944279998569983,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,1,3886.544999856968,1,20.0,0,10,3.886544999856968,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,24,1525.841999856988,1,20.0,0,10,1.5258419998569879,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,52,1989.232999856933,0,20.0,0,10,1.989232999856933,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,4,9695.043000047675,0,20.0,0,10,9.695043000047676,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,4,1844.7259998569496,1,20.0,0,10,1.8447259998569496,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
65.0,2,4373.986999857007,1,20.0,0,10,4.3739869998570065,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,1,7467.494999999995,1,20.0,0,10,7.467494999999995,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,2,2443.63999990467,0,20.0,0,10,2.44363999990467,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,2,1259.809000047739,1,20.0,0,10,1.2598090000477389,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
25.0,52,1027.4289999522734,0,20.0,0,10,1.0274289999522734,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,24,2010.2329999046635,0,20.0,0,10,2.0102329999046633,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
50.0,2,2462.137999952305,1,20.0,0,10,2.462137999952305,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
130.0,1,1666.0319999522762,1,20.0,0,10,1.6660319999522761,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
80.0,12,3963.602999904658,0,20.0,0,10,3.963602999904658,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
30.0,1,1969.18699985696,1,20.0,0,10,1.96918699985696,20.0,Undergraduate,90.0,p,10.0,3.0,6.0,5.0
